worldname	numPredators	numPrey	mean_energy

world_1	13	2	4.230769230769231
world_2	9	43	23.59090909090909
world_3	8	54	35.7
world_4	2	152	41.0
world_5	18	83	46.46
world_6	10	134	57.333333333333336
world_7	10	1	49.65714285714286
world_8	13	3	42.734939759036145
world_9	12	158	51.68421052631579
world_10	14	189	61.0
world_1	7	55	79.71428571428571
world_2	6	50	69.46153846153847
world_3	19	144	79.90625
world_4	15	81	74.85106382978724
world_5	13	72	71.83333333333333
world_6	12	1	60.388888888888886
world_7	20	39	52.76086956521739
world_8	10	14	49.40196078431372
world_9	4	143	51.9622641509434
world_10	13	185	60.0672268907563
world_1	16	37	29.75
world_2	16	171	74.21875
world_3	17	131	76.65306122448979
world_4	20	29	60.26086956521739
world_5	19	166	70.1590909090909
world_6	16	169	76.91346153846153
world_7	11	159	80.57391304347826
world_8	17	164	84.29545454545455
world_9	18	159	85.57333333333334
world_10	15	50	81.55151515151515
world_1	1	135	120.0
world_2	10	196	123.18181818181819
world_3	15	32	67.34615384615384
world_4	8	44	65.8529411764706
world_5	7	146	75.07317073170732
world_6	14	118	79.49090909090908
world_7	20	27	63.346666666666664
world_8	17	20	54.57608695652174
world_9	15	37	51.19626168224299
world_10	17	68	50.96774193548387
world_1	3	45	83.33333333333333
world_2	8	55	69.0
world_3	2	98	75.38461538461539
world_4	2	59	76.66666666666667
world_5	10	175	95.6
world_6	2	43	94.70370370370371
world_7	11	108	96.26315789473684
world_8	15	22	74.60377358490567
world_9	9	72	74.66129032258064
world_10	5	140	77.76119402985074
world_1	9	183	123.44444444444444
world_2	2	11	105.81818181818181
world_3	3	31	93.5
world_4	11	180	104.68
world_5	10	24	82.88571428571429
world_6	6	195	89.3170731707317
world_7	12	102	87.24528301886792
world_8	3	133	88.76785714285714
world_9	15	161	94.07042253521126
world_10	9	105	94.0375
world_1	19	54	36.578947368421055
world_2	20	153	65.1025641025641
world_3	17	139	72.01785714285714
world_4	19	27	58.56
world_5	7	35	58.19512195121951
world_6	15	178	68.12371134020619
world_7	4	182	70.18811881188118
world_8	15	126	73.39655172413794
world_9	14	46	70.00769230769231
world_10	11	56	68.90780141843972
world_1	19	76	49.21052631578947
world_2	10	105	67.86206896551724
world_3	7	78	71.41666666666667
world_4	2	54	71.65789473684211
world_5	13	173	84.15686274509804
world_6	20	140	84.56338028169014
world_7	18	136	85.43820224719101
world_8	7	173	87.91666666666667
world_9	16	185	92.76785714285714
world_10	20	197	96.38636363636364
world_1	2	14	30.5
world_2	17	35	26.894736842105264
world_3	17	111	49.361111111111114
world_4	19	60	45.472727272727276
world_5	7	44	47.12903225806452
world_6	19	64	46.22222222222222
world_7	12	181	54.946236559139784
world_8	2	80	55.92631578947368
world_9	9	146	61.26923076923077
world_10	6	32	61.06363636363636
world_1	15	98	74.66666666666667
world_2	9	36	63.416666666666664
world_3	1	138	65.52
world_4	3	30	66.17857142857143
world_5	16	193	84.4090909090909
world_6	1	63	84.75555555555556
world_7	13	68	78.77586206896552
world_8	16	45	69.39189189189189
world_9	14	13	60.40909090909091
world_10	18	174	68.47169811320755
world_1	14	195	122.07142857142857
world_2	9	130	113.91304347826087
world_3	3	140	114.42307692307692
world_4	17	98	96.48837209302326
world_5	14	24	78.40350877192982
world_6	17	145	83.78378378378379
world_7	20	52	73.12765957446808
world_8	14	150	76.97222222222223
world_9	7	191	79.89565217391305
world_10	20	106	77.77777777777777
world_1	9	22	28.77777777777778
world_2	17	26	22.5
world_3	13	81	38.46153846153846
world_4	9	135	52.708333333333336
world_5	9	173	62.31578947368421
world_6	8	193	70.03076923076924
world_7	6	36	69.08450704225352
world_8	10	16	62.98765432098765
world_9	1	190	63.646341463414636
world_10	13	193	71.86315789473684
world_1	16	75	56.5
world_2	15	180	87.87096774193549
world_3	20	151	90.19607843137256
world_4	17	197	98.01470588235294
world_5	7	3	89.48
world_6	15	47	80.87777777777778
world_7	3	94	81.29032258064517
world_8	9	8	75.13725490196079
world_9	17	66	71.34453781512605
world_10	10	105	73.8062015503876
world_1	13	159	110.46153846153847
world_2	8	81	104.76190476190476
world_3	16	118	93.97297297297297
