worldname	numPredators	numPrey	mean_energy
world_1	1	20	44.0
world_2	1	115	67.5
world_3	1	173	75.66666666666667
world_4	1	42	73.75
world_5	1	122	75.8
world_6	1	109	77.83333333333333
world_7	1	113	78.57142857142857
world_8	1	149	80.25
world_9	1	11	74.77777777777777
world_10	1	190	76.8
world_1	1	199	94.0
world_2	1	1	48.5
world_3	1	103	63.0
world_4	1	37	65.5
world_5	1	94	70.6
world_6	1	60	69.83333333333333
world_7	1	175	73.0
world_8	1	67	74.375
world_9	1	175	76.22222222222223
world_10	1	21	74.1
world_1	1	38	54.0
world_2	1	162	72.5
world_3	1	42	68.66666666666667
world_4	1	199	75.5
world_5	1	52	73.8
world_6	1	112	76.66666666666667
world_7	1	40	74.71428571428571
world_8	1	191	77.375
world_9	1	187	79.0
world_10	1	148	79.9
world_1	1	84	86.0
world_2	1	124	83.5
world_3	1	79	85.0
world_4	1	121	86.0
world_5	1	186	86.8
world_6	1	83	85.66666666666667
world_7	1	104	86.0
world_8	1	88	85.75
world_9	1	67	85.33333333333333
world_10	1	142	85.7
world_1	1	49	62.0
world_2	1	54	70.0
world_3	1	20	67.66666666666667
world_4	1	91	72.25
world_5	1	11	65.0
world_6	1	93	68.5
world_7	1	125	71.0
world_8	1	43	71.875
world_9	1	30	69.0
world_10	1	117	70.4
world_1	1	9	31.0
world_2	1	177	61.5
world_3	1	97	67.66666666666667
world_4	1	180	72.5
world_5	1	124	75.6
world_6	1	200	79.5
world_7	1	181	81.57142857142857
world_8	1	94	82.125
world_9	1	121	82.55555555555556
world_10	1	134	83.2
world_1	1	53	61.0
world_2	1	87	70.5
world_3	1	165	78.66666666666667
world_4	1	23	73.25
world_5	1	190	77.8
world_6	1	36	78.16666666666667
world_7	1	157	80.28571428571429
world_8	1	10	74.375
world_9	1	14	70.0
world_10	1	104	71.2
world_1	1	168	87.0
world_2	1	53	73.0
world_3	1	120	79.33333333333333
world_4	1	14	65.75
world_5	1	151	70.8
world_6	1	139	74.0
world_7	1	112	76.14285714285714
world_8	1	91	77.125
world_9	1	194	78.77777777777777
world_10	1	134	79.4
world_1	1	54	81.0
world_2	1	79	80.5
world_3	1	197	84.66666666666667
world_4	1	16	71.5
world_5	1	112	74.2
world_6	1	67	74.33333333333333
world_7	1	112	76.0
world_8	1	112	76.75
world_9	1	49	76.66666666666667
world_10	1	105	77.5
world_1	1	27	45.0
world_2	1	78	62.0
world_3	1	154	72.33333333333333
world_4	1	67	75.5
world_5	1	86	78.4
world_6	1	93	80.33333333333333
world_7	1	182	82.14285714285714
world_8	1	174	83.375
world_9	1	102	84.11111111111111
world_10	1	28	81.0
world_1	1	37	71.0
world_2	1	20	64.5
world_3	1	16	64.33333333333333
world_4	1	159	70.75
world_5	1	41	72.6
world_6	1	174	76.0
world_7	1	181	78.0
world_8	1	197	80.125
world_9	1	121	81.77777777777777
world_10	1	64	81.8
world_1	1	126	87.0
world_2	1	184	91.0
world_3	1	108	88.66666666666667
world_4	1	140	87.75
world_5	1	16	77.2
world_6	1	132	79.16666666666667
world_7	1	57	79.42857142857143
world_8	1	4	72.25
world_9	1	1	65.0
world_10	1	182	67.6
